"","Competition_Name","Country","Team","Opp","Venue","HomeGoals","AwayGoals","Result","Diff"
"367","Premier League","ENG","Arsenal","Newcastle Utd","H",1,0,"W",1
"368","Premier League","ENG","Brighton","Liverpool","H",3,2,"W",1
"369","Premier League","ENG","Manchester City","Bournemouth","H",3,1,"W",2
"370","Premier League","ENG","Crystal Palace","Wolves","H",4,2,"W",2
"371","Premier League","ENG","Manchester Utd","Aston Villa","H",2,0,"W",2
"372","Premier League","ENG","Ipswich Town","West Ham","H",1,3,"L",-2
"373","Premier League","ENG","Wolves","Brentford","H",1,1,"D",0
"374","Premier League","ENG","Southampton","Arsenal","H",1,2,"L",-1
"375","Premier League","ENG","Liverpool","Crystal Palace","H",1,1,"D",0
"376","Premier League","ENG","Nott'ham Forest","Chelsea","H",0,1,"L",-1
"377","Premier League","ENG","Fulham","Manchester City","H",0,2,"L",-2
"378","Premier League","ENG","Newcastle Utd","Everton","H",0,1,"L",-1
"379","Premier League","ENG","Bournemouth","Leicester City","H",2,0,"W",2
"380","Premier League","ENG","Tottenham","Brighton","H",1,4,"L",-3
"381","Ligue 1","FRA","Le Havre","Paris S-G","H",1,4,"L",-3
"382","Ligue 1","FRA","Brest","Marseille","H",1,5,"L",-4
"383","Ligue 1","FRA","Reims","Lille","H",0,2,"L",-2
